1 2 396.967
1 3 -0.985216
1 4 6.62145
1 5 19.6621
1 6 2.8208
1 7 -0.000173784
1 8 -4.05677
1 9 0
1 10 -337.396
1 11 1.18216
1 12 -6.42912
1 13 -13.8695
1 14 -1.86431
1 15 0.0433988
1 16 2.73878
2 3 395.552
2 4 -6.98008
2 5 0.301491
2 6 18.6567
2 7 2.48779
2 8 2.70255
2 9 -328.659
2 10 0
2 11 -329.05
2 12 3.90148
2 13 -1.10192
2 14 -12.5844
2 15 -1.619
2 16 -1.59784
3 4 -379.482
3 5 -3.09271
3 6 5.61413
3 7 21.0274
3 8 1.87515
3 9 1.22263
3 10 -337.944
3 11 0
3 12 311.934
3 13 1.7615
3 14 -5.36888
3 15 -14.6671
3 16 -1.21969
4 5 408.123
4 6 5.28467
4 7 -13.4143
4 8 -23.9644
4 9 -6.35539
4 10 4.77883
4 11 315.699
4 12 0
4 13 -340.209
4 14 -2.89534
4 15 9.95639
4 16 16.2643
5 6 410.717
5 7 -13.3286
5 8 -13.4082
5 9 -13.7889
5 10 -0.990808
5 11 1.9351
5 12 -331.086
5 13 0
5 14 -334.478
5 15 8.85252
5 16 11.426
6 7 409.354
6 8 9.07753
6 9 -2.03415
6 10 -13.8228
6 11 -5.22278
6 12 -2.83121
6 13 -343.562
6 14 0
6 15 -340.967
6 16 -5.28423
7 8 410.313
7 9 0.158929
7 10 -1.7472
7 11 -14.8489
7 12 11.607
7 13 8.95621
7 14 -332.035
7 15 0
7 16 -334.331
8 9 2.83651
8 10 -1.94066
8 11 -1.39083
8 12 16.1685
8 13 9.8169
8 14 -5.27608
8 15 -343.242
8 16 0
9 10 288.028
9 11 -1.26774
9 12 5.5541
9 13 9.71915
9 14 1.33934
9 15 -0.139388
9 16 -1.916
10 11 290.084
10 12 -2.59966
10 13 1.29527
10 14 9.31843
10 15 1.13367
10 16 1.14456
11 12 -269.382
11 13 -1.03896
11 14 4.56926
11 15 10.349
11 16 0.901265
12 13 285.594
12 14 1.36838
12 15 -8.32331
12 16 -10.9669
13 14 289.752
13 15 -6.07944
13 16 -8.16496
14 15 286.221
14 16 2.90031
15 16 289.64
